,ticker,company_name,marketcap_display,sell_side_rating,quant_rating,authors_rating,eps_revisions_category,growth_category,momentum_category,profitability_category,value_category,dividend_yield,is_top_tated
73,DELL,Dell Technologies Inc.,84784013000,4.22727,4.985542169,3.6,1,5,1,1,10,1.309143,FALSE
74,VTSI,"VirTra, Inc.",178533360,4.5,4.978313253,4,2,3,1,5,9,,FALSE
75,CPHRF,Cipher Pharmaceuticals Inc.,150749200,4.66667,4.885542169,,4,9,1,1,2,,FALSE
76,BTCS,BTCS Inc.,22929904,4,4.930120482,,2,1,4,3,1,,FALSE
77,CGBD,Carlyle Secured Lending Inc.,880276350,3.4,4.879518072,3.5,1,2,3,2,2,8.713214,FALSE
214,CNC,Centene Corporation,38556647000,3.94737,4.73373494,4,3,5,6,2,2,,TRUE
79,DCPH,"Deciphera Pharmaceuticals, Inc.",2085250690,3.5,4.881927711,3,3,7,1,8,10,,FALSE
80,HUYA,HUYA Inc.,1045130300,3.53333,4.938554217,4,4,1,1,10,1,,FALSE
81,GRIN,Grindrod Shipping Holdings Ltd.,266542880,3,4.965060241,2.5,1,1,1,7,1,12.613811,FALSE
82,PDD,PDD Holdings Inc.,1.72888E+11,4.74419,4.925301205,3.66667,2,3,2,1,9,,FALSE
83,VWAGY,Volkswagen AG,67350692000,5,4.924096386,4,2,9,6,1,1,6.6519713,FALSE
84,ALAR,Alarum Technologies Ltd.,175090992,5,4.993975904,4,1,7,1,8,10,,FALSE
85,TME,Tencent Music Entertainment Group,19312848900,4.41379,4.945783133,3,1,4,1,5,11,,FALSE
86,BWAY,BrainsWay Ltd.,90947048,4.75,4.940963855,3.5,1,3,1,4,10,,FALSE
87,SNDL,SNDL Inc.,584046020,5,4.904819277,3.5,1,8,2,4,2,,FALSE
88,RNA,"Avidity Biosciences, Inc.",2467120380,4.875,4.943373494,3.5,6,4,1,6,9,,FALSE
89,WGS,GeneDx Holdings Corp.,547076100,4,4.987951807,,1,7,1,7,10,,FALSE
504,CHRD,Chord Energy Corporation,7235624400,4.5,4.14608076,3.5,5,5,5,3,5,2.8707585,TRUE
91,TARS,"Tarsus Pharmaceuticals, Inc.",1227363840,4.55556,4.913253012,4,2,2,2,7,9,,FALSE
92,EWTX,"Edgewise Therapeutics, Inc.",1775733120,4.5,4.915662651,3,3,8,1,6,5,,FALSE
93,APP,AppLovin Corporation,22973771800,4,4.981927711,4.27273,1,2,1,2,11,,FALSE
94,TCRX,"TScan Therapeutics, Inc.",492541568,4.5,4.927710843,,4,6,1,11,10,,FALSE
95,JANX,"Janux Therapeutics, Inc.",3016589820,4.88889,4.995180723,3,2,9,1,5,9,,FALSE
96,ARIS,"Aris Water Solutions, Inc.",797577090,4.36364,4.912048193,4,1,7,1,10,4,2.6219957,FALSE
97,BMR,Beamr Imaging Ltd.,83225440,5,4.998795181,3,1,1,1,11,6,,FALSE
98,GCT,GigaCloud Technology Inc.,1310863870,4.5,4.990361446,3.8,2,1,1,5,8,,FALSE
99,THRD,"Third Harmonic Bio, Inc.",463812736,3.66667,4.928915663,,1,1,2,5,4,,FALSE
100,AEO,"American Eagle Outfitters, Inc.",4672609800,3.33333,4.787951807,3.5,2,5,1,6,9,1.8987342,FALSE
101,EBAY,eBay Inc.,25859008500,3.3125,4.761445783,3.33333,3,9,3,2,9,1.9976498,FALSE
102,ORCL,Oracle Corporation,3.15062E+11,3.91429,4.774698795,3.69231,3,7,6,1,11,1.3957952,FALSE
103,JPM,JPMorgan Chase & Co.,5.51039E+11,4.08333,4.827710843,4,5,6,2,1,11,2.2151568,FALSE
104,PHG,Koninklijke Philips N.V.,24435456000,3,4.778313253,3,2,6,3,2,11,,FALSE
105,PHM,"PulteGroup, Inc.",23520454700,4.11111,4.878313253,3.5,2,6,2,2,7,0.643892,FALSE
106,EGO,Eldorado Gold Corporation,2937561090,3.5,4.859036145,3.33333,1,1,3,9,7,,FALSE
107,SA,Seabridge Gold Inc.,1323908220,4.75,4.762650602,4,1,9,3,9,6,,FALSE
108,TGB,Taseko Mines Limited,703252480,4.42857,4.843373494,4,3,1,1,10,6,,FALSE
109,RL,Ralph Lauren Corporation,10459499500,3.80952,4.790361446,3,2,7,2,4,11,1.8335167,FALSE
110,SNY,Sanofi,1.24383E+11,4.33333,4.807228916,3.66667,1,7,6,1,7,3.7978916,FALSE
111,CROX,"Crocs, Inc.",7499793900,4.28571,4.765060241,4,1,9,3,2,6,,FALSE
112,MDT,Medtronic plc,1.07408E+11,3.69697,4.812048193,4.16667,1,7,7,1,11,3.412041,FALSE
333,BAP,Credicorp Ltd.,13100182500,4.33333,4.55060241,4,3,2,4,6,6,4.1112323,TRUE
114,TSN,"Tyson Foods, Inc.",21484240900,3.5,4.815662651,4,2,4,4,8,4,3.2177808,FALSE
182,CCAP,"Crescent Capital BDC, Inc.",643388480,4.2,4.871084337,4,1,1,6,2,2,9.447004,TRUE
116,EMR,Emerson Electric Co.,60857467000,4.45833,4.789156627,3.66667,3,6,5,3,11,1.963363,FALSE
117,ITRI,"Itron, Inc.",4196361730,4.14286,4.846987952,3,1,3,2,7,10,,FALSE
118,CIB,Bancolombia S.A.,8108607500,3.09091,4.763855422,,4,8,4,4,1,9.859642,FALSE
